,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,year,room_total,month
3652,2015-04-21,695000.0,5,2,3160,3990,1,7,2015,7,4
3653,2014-06-06,387500.0,3,1,1560,14333,1,7,2014,4,6
3654,2015-03-18,245000.0,3,2,1770,6187,2,7,2015,5,3
3655,2014-07-29,308550.0,3,2,1600,13200,1,7,2014,5,7
3656,2014-06-24,225000.0,3,1,1330,13102,1,7,2014,4,6
3657,2014-09-03,715000.0,4,2,2970,29163,2,9,2014,6,9
3658,2015-05-06,335000.0,3,1,1020,10200,1,7,2015,4,5
3659,2014-08-21,634000.0,3,2,2490,4904,2,9,2014,5,8
3660,2014-05-14,337500.0,5,2,1700,7314,1,7,2014,7,5
3661,2014-09-04,440000.0,1,1,850,6567,1,6,2014,2,9
3662,2014-07-17,350000.0,3,1,1250,13775,1,7,2014,4,7
3663,2015-01-14,400000.0,2,1,610,4560,1,5,2015,3,1
3664,2014-08-15,1288000.0,4,3,3700,13175,2,11,2014,7,8
3665,2015-04-06,435000.0,3,1,950,10080,1,7,2015,4,4
3666,2014-09-29,681000.0,4,2,3860,5130,2,8,2014,6,9
3667,2014-06-29,397000.0,3,3,1360,1275,2,8,2014,6,6
3668,2014-09-26,775000.0,4,2,3890,34513,2,10,2014,6,9
3669,2014-07-07,480000.0,3,2,1680,9090,1,7,2014,5,7
3670,2014-09-09,158000.0,3,2,1520,7200,2,7,2014,5,9
3671,2014-07-23,590000.0,3,2,2420,208652,1,8,2014,5,7
3672,2014-09-02,772500.0,5,2,3890,9130,2,9,2014,7,9
3673,2015-02-17,464500.0,5,1,2940,13425,1,8,2015,6,2
3674,2015-04-24,281000.0,3,1,1350,8737,1,7,2015,4,4
3675,2014-07-22,620000.0,3,2,2190,45738,1,8,2014,5,7
3676,2014-06-17,475000.0,3,2,2280,5750,1,7,2014,5,6
3677,2014-10-17,245000.0,2,2,1070,4500,1,6,2014,4,10
3678,2014-07-29,660000.0,5,2,2540,3750,1,7,2014,7,7
3679,2014-12-04,527500.0,4,2,2270,8480,1,8,2014,6,12
3680,2014-10-27,135000.0,2,1,1220,7250,1,6,2014,3,10
3681,2015-05-06,275000.0,3,1,1890,5000,1,7,2015,4,5
3682,2015-02-10,430000.0,4,2,1990,4740,1,7,2015,6,2
3683,2014-08-25,213500.0,3,1,1220,6000,1,7,2014,4,8
3684,2014-09-12,535000.0,3,3,2640,5978,2,9,2014,6,9
3685,2015-02-13,641000.0,3,1,1480,9603,1,7,2015,4,2
3686,2014-10-28,436300.0,3,2,2320,9420,1,7,2014,5,10
3687,2014-10-14,1440000.0,4,1,2410,6000,1,8,2014,5,10
3688,2015-03-27,830000.0,4,2,2090,13500,1,8,2015,6,3
3689,2014-07-22,380000.0,3,1,920,3532,1,6,2014,4,7
3690,2015-02-20,132500.0,3,0,850,8573,1,6,2015,3,2
3691,2014-12-01,179950.0,3,1,1130,9907,1,7,2014,4,12
3692,2015-04-20,188200.0,3,1,1260,7265,1,7,2015,4,4
3693,2014-07-02,659000.0,4,2,2090,10800,1,7,2014,6,7
3694,2014-10-22,317000.0,3,2,2020,7260,1,7,2014,5,10
3695,2014-11-24,625000.0,3,2,1970,4564,1,8,2014,5,11
3696,2014-06-13,350000.0,3,1,1820,9545,1,7,2014,4,6
3697,2014-06-25,750000.0,3,1,1840,5000,1,7,2014,4,6
3698,2014-08-27,457000.0,4,1,2100,10358,1,8,2014,5,8
3699,2015-03-04,632500.0,4,2,1770,5000,2,7,2015,6,3
3700,2014-07-02,223000.0,3,2,1110,7231,1,7,2014,5,7
3701,2014-09-02,610000.0,4,2,2090,8400,1,8,2014,6,9
3702,2014-10-24,385000.0,4,1,2080,8215,2,7,2014,5,10
3703,2015-03-24,367500.0,3,3,1400,1343,2,7,2015,6,3
3704,2014-08-04,385100.0,3,1,1060,8040,1,6,2014,4,8
3705,2014-12-29,230000.0,2,1,720,5913,1,6,2014,3,12
3706,2014-06-23,286000.0,3,2,1100,750,2,7,2014,5,6
3707,2015-03-26,201700.0,3,1,1010,9576,1,7,2015,4,3
3708,2015-04-23,1350000.0,4,4,5230,89298,2,11,2015,8,4
3709,2014-05-19,525000.0,4,1,2420,7672,1,8,2014,5,5
3710,2015-02-02,361000.0,3,1,1200,7236,1,7,2015,4,2
3711,2014-09-23,530000.0,3,1,1950,1963,3,8,2014,4,9
3712,2014-10-08,455000.0,3,2,1870,7403,1,7,2014,5,10
3713,2014-11-20,421000.0,4,2,1310,8400,1,7,2014,6,11
3714,2014-05-02,640000.0,4,2,1520,6200,1,7,2014,6,5
3715,2015-03-31,240000.0,3,1,1270,12733,1,7,2015,4,3
3716,2014-10-24,360000.0,2,1,840,7414,1,6,2014,3,10
3717,2015-03-24,157340.0,2,1,900,23000,1,7,2015,3,3
3718,2015-04-15,1240000.0,4,3,3010,6139,2,8,2015,7,4
3719,2014-05-06,250000.0,3,1,1050,6874,1,6,2014,4,5
3720,2015-02-25,735000.0,6,2,3360,84506,1,7,2015,8,2
3721,2015-01-15,884900.0,7,4,5370,10800,1,8,2015,11,1
3722,2014-10-23,775000.0,3,3,2690,104544,2,8,2014,6,10
3723,2014-05-02,463000.0,3,1,1710,7320,1,7,2014,4,5
3724,2014-06-23,579000.0,3,2,1640,1269,3,8,2014,5,6
3725,2014-07-09,570000.0,6,3,4000,6015,2,10,2014,9,7
3726,2015-03-31,1060000.0,5,4,4140,7924,2,10,2015,9,3
3727,2014-09-09,375000.0,4,2,3140,24800,1,8,2014,6,9
3728,2014-12-09,422000.0,2,1,1320,2609,1,7,2014,3,12
3729,2015-02-09,866500.0,4,3,3080,4945,2,9,2015,7,2
3730,2015-04-13,705000.0,3,2,2500,10359,2,10,2015,5,4
3731,2014-10-29,470000.0,4,2,2520,9684,2,8,2014,6,10
3732,2014-12-18,360000.0,3,1,2350,6200,1,7,2014,4,12
3733,2015-04-29,795000.0,4,2,2570,13450,1,8,2015,6,4
3734,2015-03-30,800000.0,4,2,3100,7807,2,9,2015,6,3
3735,2014-05-29,2453500.0,4,3,4730,13586,1,10,2014,7,5
3736,2015-04-08,277284.0,3,1,1030,4800,1,6,2015,4,4
3737,2015-04-13,460000.0,2,1,1020,4002,1,7,2015,3,4
3738,2015-05-04,898888.0,3,2,2080,3729,2,9,2015,5,5
3739,2014-08-06,211000.0,3,1,1410,47916,1,7,2014,4,8
3740,2014-08-28,222000.0,2,2,1360,3300,2,6,2014,4,8
3741,2014-05-29,672000.0,3,2,2620,21587,2,7,2014,5,5
3742,2014-10-20,778000.0,3,2,2260,33080,1,9,2014,5,10
3743,2015-01-21,312500.0,3,1,1490,9493,1,8,2015,4,1
3744,2014-07-14,650000.0,4,2,2530,6500,1,8,2014,6,7
3745,2014-08-26,740000.0,6,2,3140,10250,1,8,2014,8,8
3746,2014-08-26,320000.0,3,2,1820,17600,1,7,2014,5,8
3747,2015-05-08,455000.0,4,2,1770,13168,2,7,2015,6,5
3748,2014-05-13,2450000.0,5,4,4430,9000,2,10,2014,9,5
3749,2014-12-03,500000.0,3,3,1490,902,3,8,2014,6,12
3750,2014-06-11,325000.0,3,1,1790,27427,1,7,2014,4,6
3751,2014-09-12,416000.0,3,2,1710,1296,3,8,2014,5,9
3752,2015-03-18,495000.0,4,2,2070,20280,2,7,2015,6,3
3753,2014-05-05,549000.0,2,1,1140,5400,1,7,2014,3,5
3754,2014-08-25,589000.0,5,2,3930,10150,1,8,2014,7,8
3755,2014-11-21,194820.0,3,1,1100,32700,1,7,2014,4,11
3756,2014-12-16,405000.0,3,2,2260,5500,1,7,2014,5,12
3757,2015-04-08,625000.0,3,2,2260,5500,1,7,2015,5,4
3758,2014-11-13,205000.0,3,1,1130,7014,1,7,2014,4,11
3759,2014-06-23,345100.0,3,3,1950,8625,1,8,2014,6,6
3760,2014-10-20,200000.0,3,1,960,7500,1,6,2014,4,10
3761,2015-02-12,1905000.0,4,3,4210,18564,2,11,2015,7,2
3762,2014-10-29,524500.0,3,1,3430,264844,1,7,2014,4,10
3763,2014-08-26,598600.0,4,2,3470,212639,2,7,2014,6,8
3764,2014-12-09,367777.0,5,3,2140,5937,1,7,2014,8,12
3765,2014-05-07,750000.0,3,2,2520,5401,1,7,2014,5,5
3766,2014-11-05,575000.0,5,2,3550,7992,2,8,2014,7,11
3767,2015-04-30,84000.0,2,1,700,20130,1,6,2015,3,4
3768,2014-12-18,255000.0,2,1,740,5000,1,6,2014,3,12
3769,2014-05-20,1740000.0,4,3,3300,4545,1,10,2014,7,5
3770,2015-05-13,415000.0,3,2,1640,5880,1,7,2015,5,5
3771,2015-05-07,449900.0,3,2,2780,8225,2,9,2015,5,5
3772,2014-09-19,220000.0,5,1,1830,94960,1,7,2014,6,9
3773,2015-04-10,899000.0,4,2,3540,9349,2,10,2015,6,4
3774,2014-07-14,430000.0,3,2,1440,7320,1,7,2014,5,7
3775,2015-01-30,472500.0,4,2,2960,223462,2,10,2015,6,1
3776,2014-12-29,680000.0,6,2,3180,9375,1,8,2014,8,12
3777,2015-03-05,1650000.0,5,4,3310,8400,2,10,2015,9,3
3778,2014-11-18,810000.0,3,2,2390,8025,2,7,2014,5,11
3779,2015-03-05,605000.0,3,2,2460,138085,2,9,2015,5,3
3780,2014-07-25,522000.0,3,1,1630,15600,1,7,2014,4,7
3781,2015-02-03,759000.0,5,2,3490,8230,2,10,2015,7,2
3782,2014-05-19,411000.0,4,2,2500,5257,2,8,2014,6,5
3783,2015-03-06,286950.0,4,2,2080,9846,1,7,2015,6,3
3784,2014-06-10,440000.0,3,1,1290,1286,3,7,2014,4,6
3785,2014-05-23,149000.0,3,1,1700,8645,1,6,2014,4,5
3786,2014-11-12,284700.0,3,1,1700,8645,1,6,2014,4,11
3787,2014-09-09,374950.0,3,2,2540,11562,1,8,2014,5,9
3788,2014-09-16,816000.0,3,1,1180,8545,1,8,2014,4,9
3789,2014-11-21,533250.0,4,1,1520,15398,1,7,2014,5,11
3790,2014-06-03,689800.0,3,2,2390,9313,1,8,2014,5,6
3791,2014-08-13,775000.0,4,2,2740,6200,1,8,2014,6,8
3792,2015-05-06,702000.0,3,2,2190,8528,1,8,2015,5,5
3793,2014-07-08,160000.0,3,1,1350,8700,1,6,2014,4,7
3794,2015-03-09,255500.0,3,1,1350,8700,1,6,2015,4,3
3795,2014-12-02,949000.0,4,2,2980,42253,1,9,2014,6,12
3796,2014-07-31,169500.0,2,1,790,7450,1,6,2014,3,7
3797,2014-09-15,586000.0,4,2,2130,9000,2,8,2014,6,9
3798,2015-02-03,680000.0,4,2,2700,37431,1,8,2015,6,2
3799,2014-12-08,851500.0,3,2,3200,18184,1,8,2014,5,12
3800,2014-05-14,582500.0,2,1,1159,4800,1,7,2014,3,5
3801,2014-08-26,637000.0,4,3,3080,118918,2,9,2014,7,8
3802,2015-01-28,225000.0,3,1,1000,9295,1,7,2015,4,1
3803,2014-12-31,795000.0,3,3,2260,3727,2,8,2014,6,12
3804,2014-08-18,304999.0,4,2,2270,9600,1,7,2014,6,8
3805,2015-05-05,95000.0,1,0,760,5746,1,5,2015,1,5
3806,2014-10-16,240000.0,4,1,1420,5382,1,5,2014,5,10
3807,2014-08-13,772000.0,4,2,2500,8680,1,7,2014,6,8
3808,2014-11-13,245000.0,2,1,1450,6258,1,8,2014,3,11
3809,2014-12-05,430000.0,5,3,2500,5750,1,8,2014,8,12
3810,2014-06-11,799000.0,3,1,2210,6300,1,8,2014,4,6
3811,2015-04-17,880000.0,5,2,3020,9187,2,9,2015,7,4
3812,2014-12-08,750000.0,4,2,3290,7538,2,9,2014,6,12
3813,2014-12-19,2890000.0,4,4,5780,7173,2,11,2014,8,12
3814,2014-06-04,532000.0,3,2,1820,4910,2,8,2014,5,6
3815,2014-08-05,525000.0,4,2,2500,10330,1,8,2014,6,8
3816,2014-11-17,239000.0,2,1,1210,9375,1,7,2014,3,11
3817,2014-06-16,460000.0,2,1,1090,4000,1,8,2014,3,6
3818,2014-06-05,540000.0,4,2,1330,8400,1,8,2014,6,6
3819,2014-06-06,475000.0,2,1,890,4590,1,7,2014,3,6
3820,2015-04-21,445000.0,3,1,1360,4998,1,8,2015,4,4
3821,2014-09-05,1575000.0,5,3,4220,9240,2,11,2014,8,9
3822,2015-04-09,549950.0,4,2,3780,6800,2,8,2015,6,4
3823,2014-10-17,294950.0,4,2,2610,14321,1,6,2014,6,10
3824,2014-10-21,736000.0,3,2,1980,2975,3,8,2014,5,10
3825,2015-04-30,214946.0,3,1,1290,8688,1,7,2015,4,4
3826,2014-10-30,856000.0,5,3,3620,5500,2,9,2014,8,10
3827,2014-05-04,775000.0,2,2,2680,7392,1,9,2014,4,5
3828,2015-02-03,205000.0,3,1,1200,8631,1,7,2015,4,2
3829,2014-10-01,429592.0,2,2,1992,10946,1,6,2014,4,10
3830,2015-02-06,414250.0,4,1,1640,13566,1,7,2015,5,2
3831,2015-02-02,399950.0,4,2,1920,4400,1,6,2015,6,2
3832,2014-10-14,319990.0,3,2,1840,7326,1,7,2014,5,10
3833,2015-01-09,524000.0,3,1,1310,9471,1,8,2015,4,1
3834,2015-01-08,349950.0,2,1,1050,6317,1,7,2015,3,1
3835,2014-10-31,889000.0,4,2,2570,4480,1,8,2014,6,10
3836,2014-07-07,300000.0,3,1,930,5160,1,6,2014,4,7
3837,2014-06-02,395000.0,1,1,730,3000,1,7,2014,2,6
3838,2015-02-03,348000.0,2,2,1270,1242,3,7,2015,4,2
3839,2015-02-26,830000.0,2,1,1150,6000,1,7,2015,3,2
3840,2014-06-12,173000.0,2,1,820,10450,1,7,2014,3,6
3841,2014-05-22,585000.0,4,1,3000,42200,1,7,2014,5,5
3842,2015-02-13,576750.0,3,2,2220,5000,1,7,2015,5,2
3843,2015-05-04,495000.0,5,3,2500,7620,1,7,2015,8,5
3844,2014-10-15,216650.0,3,3,1540,1427,2,7,2014,6,10
3845,2015-04-13,615000.0,4,2,2750,15450,1,8,2015,6,4
3846,2014-10-24,675000.0,4,2,3130,12463,1,8,2014,6,10
3847,2015-04-01,510000.0,3,2,1430,9250,1,8,2015,5,4
3848,2014-05-07,630000.0,3,2,2680,327135,2,8,2014,5,5
3849,2014-08-01,359950.0,4,2,3010,5701,2,8,2014,6,8
3850,2014-10-03,265000.0,3,1,1530,7500,1,7,2014,4,10
3851,2014-05-21,210000.0,3,1,1240,4842,1,6,2014,4,5
3852,2015-03-25,367000.0,3,2,2260,93218,1,6,2015,5,3
3853,2015-04-13,1075000.0,4,2,2820,5000,1,9,2015,6,4
3854,2015-02-11,756000.0,3,2,3560,8297,1,8,2015,5,2
3855,2014-07-24,203000.0,3,2,1630,9145,1,7,2014,5,7
3856,2015-01-21,535000.0,4,2,2880,23994,2,9,2015,6,1
3857,2015-03-23,525000.0,3,3,2200,7440,2,7,2015,6,3
3858,2015-03-09,347500.0,3,1,1620,7500,1,7,2015,4,3
3859,2014-05-05,620000.0,3,1,1480,2185,2,9,2014,4,5
3860,2015-04-22,645000.0,4,2,2250,10696,2,8,2015,6,4
3861,2014-12-03,2200000.0,4,3,3540,11098,2,10,2014,7,12
3862,2014-06-19,280000.0,3,2,1790,42399,1,7,2014,5,6
3863,2015-05-01,432000.0,3,2,1400,6380,1,7,2015,5,5
3864,2014-12-22,790000.0,3,1,2390,4452,2,9,2014,4,12
3865,2015-01-13,635000.0,4,1,2400,10050,1,8,2015,5,1
3866,2014-08-19,442000.0,3,1,2050,6384,1,7,2014,4,8
3867,2015-04-22,490000.0,4,3,2640,5267,2,7,2015,7,4
3868,2014-09-25,250000.0,5,1,2320,7700,1,7,2014,6,9
3869,2014-06-19,1325000.0,4,2,2440,3600,2,8,2014,6,6
3870,2014-10-27,120000.0,3,1,1260,7500,1,6,2014,4,10
3871,2014-09-18,2950000.0,5,4,6240,47480,1,11,2014,9,9
3872,2014-09-23,325000.0,4,2,1930,8458,2,7,2014,6,9
3873,2014-06-12,210000.0,4,1,1200,7680,1,7,2014,5,6
3874,2015-05-04,215000.0,1,1,970,7639,1,5,2015,2,5
3875,2014-10-29,387000.0,3,1,1810,10800,1,8,2014,4,10
3876,2014-09-18,408000.0,3,1,1380,7015,1,7,2014,4,9
3877,2014-07-10,410000.0,3,1,1470,6500,1,7,2014,4,7
3878,2014-12-16,216000.0,3,1,1010,7920,1,6,2014,4,12
3879,2015-03-30,390000.0,3,1,1010,7920,1,6,2015,4,3
3880,2014-12-11,357000.0,3,1,1340,11744,1,7,2014,4,12
3881,2014-05-19,215000.0,3,1,970,7275,1,7,2014,4,5
3882,2015-02-13,265000.0,3,1,1122,6554,1,5,2015,4,2
3883,2014-12-09,589950.0,3,2,1670,1350,3,9,2014,5,12
3884,2015-02-06,440000.0,3,1,2840,16851,1,8,2015,4,2
3885,2015-04-29,248000.0,2,1,770,8600,1,4,2015,3,4
3886,2014-09-11,730000.0,3,2,2040,130680,2,9,2014,5,9
3887,2015-01-19,425000.0,4,2,3052,12145,2,8,2015,6,1
3888,2014-09-12,680000.0,3,2,2620,14248,2,8,2014,5,9
3889,2015-02-18,341500.0,5,2,3120,10400,2,8,2015,7,2
3890,2015-05-08,395000.0,2,1,1100,3975,1,7,2015,3,5
3891,2014-07-31,1225000.0,4,2,3410,95396,1,10,2014,6,7
3892,2014-07-08,695500.0,5,2,2510,9180,1,8,2014,7,7
3893,2014-10-02,308000.0,3,1,1680,8629,1,8,2014,4,10
3894,2015-02-18,422500.0,3,2,1960,6450,1,7,2015,5,2
3895,2015-04-21,418000.0,2,1,1040,6900,1,7,2015,3,4
3896,2014-10-07,385000.0,5,1,1750,9780,1,7,2014,6,10
3897,2014-05-12,876650.0,3,3,2170,12508,1,9,2014,6,5
3898,2014-08-21,450000.0,3,2,1639,2710,2,8,2014,5,8
3899,2014-06-25,418800.0,4,2,2100,9984,1,7,2014,6,6
3900,2014-10-08,330000.0,2,1,880,1753,2,7,2014,3,10
3901,2015-04-16,550000.0,3,1,1940,8376,1,8,2015,4,4
3902,2014-10-30,270000.0,4,2,2490,11650,1,7,2014,6,10
3903,2015-04-29,978500.0,3,2,2060,7080,2,9,2015,5,4
3904,2014-09-30,975000.0,4,2,2720,10455,2,10,2014,6,9
3905,2014-07-25,455000.0,3,2,2180,6850,1,7,2014,5,7
3906,2014-10-09,1415000.0,4,3,3600,38016,2,11,2014,7,10
3907,2015-04-06,220000.0,2,1,840,9000,1,6,2015,3,4
3908,2014-08-13,490000.0,3,2,2370,12196,2,7,2014,5,8
3909,2015-04-21,420000.0,4,2,2270,9100,2,7,2015,6,4
3910,2014-12-08,408500.0,4,2,2720,7043,2,9,2014,6,12
3911,2015-03-27,716000.0,3,1,1140,4800,1,7,2015,4,3
3912,2014-06-02,965000.0,4,2,2460,5000,2,8,2014,6,6
3913,2015-01-13,357823.0,3,1,1240,9196,1,8,2015,4,1
3914,2014-06-11,7062500.0,5,4,10040,37325,2,11,2014,9,6
3915,2014-08-05,425000.0,3,2,1670,9500,1,7,2014,5,8
3916,2015-04-16,711777.0,4,1,2220,6731,1,7,2015,5,4
3917,2014-12-01,335000.0,3,1,980,9903,1,7,2014,4,12
3918,2014-06-16,825000.0,4,1,1890,6938,1,8,2014,5,6
3919,2015-05-01,210000.0,2,1,1100,6000,1,6,2015,3,5
3920,2014-08-11,575000.0,2,1,2770,19700,2,8,2014,3,8
3921,2015-04-04,1208000.0,4,2,4250,10925,2,10,2015,6,4
3922,2014-08-01,431500.0,2,2,1370,4866,1,8,2014,4,8
3923,2014-09-03,475000.0,3,1,1480,13457,1,7,2014,4,9
3924,2014-11-26,1495000.0,4,3,3770,4000,2,9,2014,7,11
3925,2014-12-23,540000.0,6,3,2870,206474,2,7,2014,9,12
3926,2014-12-10,775000.0,3,2,3820,35016,2,9,2014,5,12
3927,2014-07-16,635000.0,3,2,1530,2978,1,7,2014,5,7
3928,2015-04-07,1300000.0,3,2,4120,16365,1,12,2015,5,4
3929,2014-08-01,405000.0,3,2,1590,7267,1,7,2014,5,8
3930,2014-07-21,210000.0,3,1,1520,8600,1,6,2014,4,7
3931,2015-05-04,880000.0,4,2,2350,4675,2,9,2015,6,5
3932,2014-10-24,239000.0,4,2,1370,8837,1,7,2014,6,10
3933,2014-07-14,515000.0,3,2,1540,6100,1,6,2014,5,7
3934,2014-07-23,1379900.0,3,3,3786,38038,1,9,2014,6,7
3935,2014-07-22,215000.0,4,2,1500,5393,2,7,2014,6,7
3936,2015-04-09,315000.0,6,2,1750,17685,1,5,2015,8,4
3937,2014-07-30,442500.0,3,1,1800,8303,1,7,2014,4,7
3938,2014-08-18,311000.0,2,1,1180,55321,1,8,2014,3,8
3939,2014-12-17,425000.0,2,1,830,6030,1,6,2014,3,12
3940,2014-09-04,433500.0,3,1,1540,9450,1,6,2014,4,9
3941,2014-08-04,450000.0,3,2,1610,8296,2,8,2014,5,8
3942,2014-05-20,675000.0,3,2,1990,10260,2,8,2014,5,5
3943,2014-06-24,535000.0,3,2,2070,4132,2,8,2014,5,6
3944,2014-06-13,577000.0,3,1,1760,12874,1,7,2014,4,6
3945,2014-12-17,480000.0,3,1,1740,8528,1,7,2014,4,12
3946,2015-01-12,400000.0,3,1,1950,4473,1,6,2015,4,1
3947,2014-06-13,304000.0,3,1,1280,8184,1,6,2014,4,6
3948,2015-03-25,355000.0,3,1,1460,7203,1,7,2015,4,3
3949,2014-09-05,998000.0,4,3,3770,982998,2,10,2014,7,9
3950,2014-08-14,550000.0,4,1,2410,8447,2,8,2014,5,8
3951,2014-10-16,550000.0,4,1,2410,8447,2,8,2014,5,10
3952,2014-08-21,210000.0,3,1,1400,7300,2,6,2014,4,8
3953,2015-02-26,317000.0,3,2,2100,7587,2,9,2015,5,2
3954,2015-05-04,700000.0,4,3,5360,25800,1,9,2015,7,5
3955,2014-06-16,265000.0,3,1,1000,9150,1,7,2014,4,6
3956,2014-09-02,700000.0,4,3,3150,6175,2,9,2014,7,9
3957,2014-09-08,1020000.0,5,3,4180,17841,2,10,2014,8,9
3958,2014-12-09,1145000.0,4,2,2840,20242,1,8,2014,6,12
3959,2014-06-27,460000.0,4,2,2110,35091,1,8,2014,6,6
3960,2014-09-24,410000.0,2,1,1660,4000,1,7,2014,3,9
3961,2014-09-05,665000.0,4,3,2160,4400,1,7,2014,7,9
3962,2015-04-14,600000.0,4,2,2420,7744,2,9,2015,6,4
3963,2015-05-04,502000.0,4,1,1920,3844,1,7,2015,5,5
3964,2014-06-04,364950.0,4,2,2310,8030,2,7,2014,6,6
3965,2014-05-29,680000.0,3,2,2330,4000,1,7,2014,5,5
3966,2014-07-08,235500.0,5,2,2340,13713,1,8,2014,7,7
3967,2014-07-21,576000.0,4,2,2590,5756,2,8,2014,6,7
3968,2014-05-05,405000.0,2,3,1410,1240,2,8,2014,5,5
3969,2014-07-16,335000.0,3,2,2850,8039,1,8,2014,5,7
3970,2015-04-20,122000.0,2,1,730,6728,1,6,2015,3,4
3971,2014-06-06,432000.0,3,1,1470,6250,1,7,2014,4,6
3972,2014-08-27,375000.0,4,2,2330,11400,1,8,2014,6,8
3973,2014-06-25,276000.0,4,2,2460,11250,1,8,2014,6,6
3974,2014-07-21,450000.0,3,2,2080,111513,1,8,2014,5,7
3975,2015-05-11,210000.0,2,1,990,8140,1,6,2015,3,5
3976,2014-11-21,279000.0,3,2,1450,4106,2,7,2014,5,11
3977,2015-02-23,635000.0,3,1,1340,3900,2,7,2015,4,2
3978,2015-02-20,350000.0,3,2,2730,7372,2,9,2015,5,2
3979,2014-09-24,218000.0,3,1,1140,7560,1,6,2014,4,9
3980,2015-03-24,750000.0,4,1,1950,6300,1,7,2015,5,3
3981,2015-02-13,310597.0,4,1,2000,25700,1,7,2015,5,2
3982,2015-04-01,355000.0,3,1,900,37800,1,5,2015,4,4
3983,2014-05-27,735000.0,5,2,3390,5211,2,9,2014,7,5
3984,2014-06-02,155000.0,1,1,720,6000,1,6,2014,2,6
3985,2014-06-11,354000.0,3,1,940,10368,1,7,2014,4,6
3986,2015-05-07,415000.0,3,1,1770,10513,1,7,2015,4,5
3987,2014-07-01,202000.0,1,1,590,833,1,7,2014,2,7
3988,2015-05-06,580000.0,3,2,1980,1873,2,7,2015,5,5
3989,2014-10-22,1495000.0,4,3,3070,10375,2,10,2014,7,10
3990,2014-10-08,790000.0,4,2,3500,7519,2,9,2014,6,10
3991,2015-03-05,499900.0,3,2,2100,5112,2,8,2015,5,3
3992,2015-04-23,525000.0,4,2,2620,98881,1,7,2015,6,4
3993,2014-06-22,810000.0,4,2,2810,10613,2,9,2014,6,6
3994,2015-02-20,425000.0,4,1,2290,8773,1,7,2015,5,2
3995,2014-12-26,241250.0,3,1,1350,7588,1,7,2014,4,12
3996,2014-11-12,318700.0,4,2,2770,19116,1,8,2014,6,11
3997,2014-08-27,720000.0,4,1,2530,5000,1,8,2014,5,8
3998,2014-07-15,291000.0,3,1,1280,10500,1,5,2014,4,7
3999,2014-07-18,420000.0,3,1,1060,38644,1,7,2014,4,7
4000,2014-07-26,210000.0,2,1,1000,3554,1,8,2014,3,7
4001,2015-04-27,645000.0,3,3,3870,11000,2,9,2015,6,4
4002,2014-05-19,762000.0,5,2,3370,5000,1,7,2014,7,5
4003,2014-07-24,247500.0,4,1,2290,7765,1,6,2014,5,7
4004,2014-07-23,282500.0,3,2,1670,7150,2,7,2014,5,7
4005,2014-06-05,395000.0,3,1,1460,22651,1,7,2014,4,6
4006,2014-06-16,295000.0,3,1,1770,8235,1,7,2014,4,6
4007,2014-08-26,235000.0,2,1,820,5100,1,6,2014,3,8
4008,2014-10-01,770000.0,3,1,1900,6334,1,8,2014,4,10
4009,2014-05-08,559950.0,2,2,1870,4950,1,8,2014,4,5
4010,2014-07-10,639000.0,4,2,1840,5419,1,7,2014,6,7
4011,2015-04-28,314950.0,3,1,1590,8470,1,7,2015,4,4
4012,2015-03-24,525000.0,3,1,1640,6180,1,7,2015,4,3
4013,2014-05-09,2400000.0,3,2,3000,11665,1,11,2014,5,5
4014,2014-06-02,820000.0,3,1,2160,6272,1,8,2014,4,6
4015,2014-09-11,1385000.0,3,3,2490,3600,2,8,2014,6,9
4016,2014-10-17,521450.0,3,2,1290,5700,1,7,2014,5,10
4017,2014-10-06,760750.0,3,2,3190,49137,2,9,2014,5,10
4018,2014-06-04,759600.0,4,1,1540,115434,1,7,2014,5,6
4019,2014-06-19,346150.0,3,2,2140,7200,1,8,2014,5,6
4020,2015-04-22,390000.0,2,1,980,3800,1,7,2015,3,4
4021,2014-09-24,359950.0,5,2,2450,9432,2,8,2014,7,9
4022,2014-06-03,430000.0,3,2,1360,5120,1,6,2014,5,6
4023,2015-04-24,960000.0,4,3,4610,11676,2,10,2015,7,4
4024,2014-10-07,800000.0,7,6,7480,41664,2,11,2014,13,10
4025,2015-01-08,1010000.0,3,2,2860,5805,2,9,2015,5,1
4026,2015-01-20,290000.0,3,2,1810,11456,1,7,2015,5,1
4027,2015-03-17,1350000.0,4,2,2240,10296,1,8,2015,6,3
4028,2014-05-13,777000.0,3,3,3610,59677,2,10,2014,6,5
4029,2014-10-07,526000.0,2,1,1450,4500,1,7,2014,3,10
4030,2015-04-18,550000.0,3,3,1450,1091,2,8,2015,6,4
4031,2014-12-23,276000.0,3,1,1820,8750,1,7,2014,4,12
4032,2014-12-29,2500000.0,5,3,5620,12672,2,11,2014,8,12
4033,2015-01-22,325000.0,3,1,2080,6554,1,7,2015,4,1
4034,2014-09-26,365000.0,3,2,1780,1754,3,8,2014,5,9
4035,2014-10-07,2150000.0,8,6,4340,9415,2,8,2014,14,10
4036,2015-03-05,825050.0,4,3,2860,3680,2,9,2015,7,3
4037,2014-07-21,690000.0,3,1,2540,9520,1,8,2014,4,7
4038,2015-04-15,390000.0,4,1,1140,6250,1,6,2015,5,4
